000001,2
000006,19
000014,29
000018,0
000023B,12
000025,70
000027,45
000028,18
0000600,0
0000C7,0
0000R3,0
00035Y,3
0004,3
000C2,3
000C7,7
000E30G,0
000H158,0
000P2,0
000V2,2
0010KG,1
00350G,0
00405C,1
00405G,0
00420G,0
00440,2
00441,0
00600,6
00660,0
00685A,18
007B,10
00931B,5
00A002,60
00A004,1
00A198,10
00A20,1
00A22,0
00A24,1
00A300,10
00A303,7
00A31,2
00A52,1
00A56,1
00B1,0
00HA104,5
00V4,4
0134,11
030172007888,1
030172057885,1
030172058196,0
030172058219,0
030172058233,0
030172058295,0
030172058325,0
030172058332,0
030172058363,0
067714102222,33
067714102239,9
067714102253,11
067714102284,12
067714102291,1
067714102307,24
067714102321,0
067714102338,17
067714102345,3
067714102383,5
067714102413,36
067714102420,13
067714102451,42
067714102468,12
067714102499,36
067714102505,8
067714102536,41
067714102543,6
067714102550,37
067714102567,3
067714102598,18
067714102604,13
067714102611,39
067714102628,13
067714102635,37
067714102703,13
067714102710,22
067714102727,9
067714102734,37
067714102741,11
067714102758,39
067714102765,3
067714102772,41
067714102789,7
067714102819,1
067714102826,0
067714102833,37
067714102840,14
097612360608,7
097612361001,9
100107 ,5
1010 ,110
10101 ,5997
10102 ,1472
10103 ,99
10104 ,14
10105 ,0
10106 ,0
102 ,6
103 ,23
1033 ,3
104 ,7
106 ,3
10838200787 ,3
1111 ,7
1130 ,8
1168630410602 ,7
1168630512092 ,21
1168630612242 ,33
1168638420078 ,10
1168638421907 ,9
1168638899591 ,12
1168638998690 ,11
1168638998799 ,9
1168638998904 ,11
1168920709058 ,17
1168920724051 ,6
121 ,6
122 ,4
1220 ,13
1230 ,20
125ML,10
126 ,2
128 ,7
129 ,6
130 ,1
131 ,6
132 ,1
133 ,2
150017 ,-1
1530 ,13
15456 ,10
17 ,8
1721612020123 ,6
1722612020120 ,9
1723612020127 ,11
17800175098 ,0
17800175159 ,0
180ML,46
1825 ,26
1B1158,1
1B1160,0
1B1173,0
1B1176,1
1C2011,15
1C2012,20
1C2107,4
1C2206,0
1C2207,0
1C2208,0
1C2211,0
1C2213,0
1C2215,0
1C2217,1
1C2302,4
1C2303,1
200002 ,41
2168630347600 ,9
2168638051271 ,21
2168638092717 ,16
250ML,11
2659362464418 ,111
2659362464425 ,79
2659362464432 ,71
2659362464449 ,52
2659362464517 ,13
2659362464524 ,33
2659362464531 ,88
2659362465019 ,10
2659362465026 ,6
2659362465118 ,35
2659362465125 ,105
2659362465132 ,84
2659362465149 ,148
2659362465316 ,99
2659362465323 ,177
2659362465330 ,113
2659362465347 ,19
2659362465712 ,151
2659362465729 ,78
2659362465736 ,108
2659362541379 ,0
2659362689873 ,5
2659364312823 ,1
2659367050487 ,2
2659367107068 ,5
2659367136013 ,8
2659367136037 ,4
2659367136044 ,3
2659367141123 ,133
2659367141130 ,16
2659367141147 ,16
2659367141413 ,117
2659367141420 ,107
